,kingdom,phylum,class,order,family,genus,label
120,Fungi,Basidiomycota,Agaricomycetes,Hymenochaetales,Hymenochaetaceae,Coltricia,Unknown
121,Fungi,Basidiomycota,Agaricomycetes,Hymenochaetales,Hymenochaetaceae,Psdeudoinonotus,Unknown
122,Fungi,Basidiomycota,Agaricomycetes,Hymenochaetales,Hymenochaetaceae,Phellinus,Non-edible
125,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Lyophyllaceae,Lyophyllum,Unknown
126,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Lyophyllaceae,Rugosomyces,Unknown
127,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Lyophyllaceae,Asterophora,Unknown
128,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Lyophyllaceae,Hypsizygus,Unknown
129,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Entolomataceae,Clitocella,Unknown
130,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Entolomataceae,Entoloma,Non-edible
131,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Entolomataceae,Clitopilus,Non-edible
132,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Entolomataceae,Rhodocybe,Unknown
134,Fungi,Ascomycota,Pezizomycetes,Pezizales,Morchellaceae,Gyromitra,Non-edible
135,Fungi,Ascomycota,Pezizomycetes,Pezizales,Morchellaceae,Disciotis,Unknown
136,Fungi,Ascomycota,Pezizomycetes,Pezizales,Morchellaceae,Morchella,Edible
137,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Hypocreopsis,Unknown
138,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,Non-edible
139,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,Amanita,Edible
140,Fungi,Ascomycota,Leotiomycetes,Leotiales,Leotiaceae,Leotia,Unknown
141,Fungi,Ascomycota,Leotiomycetes,Leotiales,Leotiaceae,Microglossum,Unknown
142,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Marasmiaceae,Oudemansiella,Unknown
143,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Marasmiaceae,Rhodocollybia,Unknown
144,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Marasmiaceae,Baeospora,Non-edible
145,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Marasmiaceae,Sarcomyxa,Unknown
146,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Marasmiaceae,Pleurocybella,Non-edible
147,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Marasmiaceae,Omphalotus,Unknown
148,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Marasmiaceae,Marasmius,Edible
